Key,Id,Portuguese (Brazil)(pt-BR),English(en)
A001,1,Iniciar,Start
A002,2,Controles,Controls
A003,3,Opções,Options
A004,4,Créditos,Credits
A005,5,Sair,Exit
A006,6,Roteiristas,Screenwritters
A007,7,Programadores,Programmers
A008,8,Artistas,Artists
A009,9,Compositores,Composers
A010,10,Áudios,Audios
A011,11,Volume Geral:,General Volume:
A012,12,Música:,Music:
A013,13,Efeitos Sonoros:,Sound Effects:
A014,14,Vídeo,Video
A015,15,Resolução:,Resolution
A016,16,Modo de Janela,Windowed Mode
A017,17,Idioma,Language
A018,18,Inglês,English
A019,19,Português (BR),Portuguese (BR)
A020,20,ESC - Pausa o jogo,ESC - Pause the game
A021,21,Setas ou WASD - Andar com o personagem,Arrows or WASD - Walk with the character
A022,22,SHIFIT - Correr com o personagem,SHIFIT - Run with the character
A023,23,SPACE - Pular com o personagem,SPACE - Jump with the character
A024,24,Z ou E - Interagir,Z or E - Interact
A025,25,C ou V - Ver rastros,C or V - See trails
A026,26,Controle do portão,Gate control
A027,27,Novelo de lã,Ball of wool
A028,28,Pepito,Pepito
A029,29,Pressione E ou Z para coletar,Press E or Z to collect
A030,30,Pressione E ou Z para abrir o portão,Press E or Z to open the gate
A031,31,"Pepito? Onde você está, maninho? Isso não é hora de brincadeiras…!","Pepito? Where are you, little brother? This is no time for games…!"
A032,32,"Seu cheiro... vai até o portão! Você saiu? Oh não, preciso te encontrar!","Your scent… goes all the way to the gate! You went outside? Oh no, I need to find you!"
A033,33,Se eu empurrar esse pneu até o móvel… pronto! Agora só preciso subir e pegar o controle...,If I push this tire up to the furniture… there! Now I just need to climb up and grab the remote...
A034,34,"Aguenta firme, Pepito! Sua irmã está indo te buscar!","Hang in there, Pepito! Your sister is coming to get you!"
A035,35,"Oi, senhor! Você viu um cachorrinho pequeno e assustado passar por aqui?","Excuse me, sir! Have you seen a small, scared little dog pass by?"
A036,36,"Ahh, minha vista não é como antigamente, querida… Mas ouvi barulho na rua de trás. Talvez ele tenha ido pra lá.","Ahh, my eyesight isn’t what it used to be, dear… But I heard some noise in the back street. Maybe he went that way."
A037,37,Muito obrigada! Você é muito gentil!,Thank you so much! You're very kind!
A038,38,"Oi, amigos de pena! Algum de vocês viu um cachorrinho pequeno e peludo correndo por aqui?","Hey, feathered friends! Have any of you seen a small, furry dog running around here?"
A039,39,"Hmmm... cachorro? Cachorro... Ahhh, eu conheço essa palavra! É aquele bicho peludo que late, né?","Hmmm… dog? Dog... Ahhh, I know that word! It's that furry thing that barks, right?"
A040,40,"Todos os bichos são peludos, Fred...","All animals are furry, Fred..."
A041,41,Nem todos! E os peixes? Eles são molhados!,Not all! What about fish? They’re wet!
A042,42,"Errr... Foco, pessoal! Um cachorrinho pequeno, peludo, passou por aqui?","Errr… Focus, guys! A small, furry dog, did he pass through here?"
A043,43,Eu vi algo se mexendo! Mas pode ter sido um cachorro... ou um saco plástico...,I saw something moving! But it could’ve been a dog… or a plastic bag...
A044,44,"Nossa, que coincidência! Eu também vi um saco plástico! Ele tava correndo igualzinho!","Wow, what a coincidence! I also saw a plastic bag! It was running just like that!"
A045,45,"Ei, e se o cachorro FOR o saco plástico??","Hey, what if the dog IS the plastic bag??"
A046,46,.... Vocês são muito confusos.,… You guys are really confusing.
A047,47,"Mas você gosta da gente, né?","But you like us, right?"
A048,48,"É, gosta sim! Eu tenho certeza disso.","Yeah, you do! I’m sure of it."
A049,49,"""Sim, sim, vocês são ótimos! Agora podem me dizer para onde o cachorro foi?","Yes, yes, you’re great! Now, can you tell me where the dog went?"
A050,50,"Ahh, por que não perguntou antes? Ele foi por ali!","Ohh, why didn’t you ask before? He went that way!"
A051,51,Sério?!,Really?!
A052,52,Não sei. Mas parece uma boa resposta!,I don’t know. But it sounds like a good answer!
A053,53,"Na verdade, acho que foi pra lá.","Actually, I think he went that way."
A054,54,"Se eu não vejo nada, então nada aconteceu!","If I don’t see anything, then nothing happened!"
A055,55,"Suspiro... Obrigada, eu acho.","Sigh… Thanks, I guess."
A056,56,"Ei, você! Você viu um cachorrinho chamado Pepito?","Hey, you! Have you seen a little dog named Pepito?"
A057,57,"Pepito? Nome engraçado. Talvez eu tenha visto, talvez… Depende.","Pepito? Funny name. Maybe I saw him, maybe… it depends."
A058,58,Depende do quê?,Depends on what?
A059,59,"Ah, minha querida, informação tem preço! Um objeto muito precioso caiu no quintal de um cachorro chato. Se você pegar para mim, quem sabe eu lembre onde Pepito foi visto pela última vez?","Ah, my dear, information has a price! A very precious item fell into the yard of an annoying dog. If you fetch it for me, who knows? I might remember where Pepito was last seen."
A060,60,Você só quer se aproveitar… Mas tudo bem. Pepito vale qualquer esforço!,You're just trying to take advantage of me… But fine. Pepito is worth any effort!
A061,61,"Aqui está. Agora, me diga onde Pepito está!",Here it is. Now tell me where Pepito is!
A062,62,"Ahh, uma boa negociadora! Ele foi levado por aquele tal de Rufus. Um cão que não brinca em serviço. Se fosse você, eu voltava pra casa.","Ahh, a good negotiator! He was taken by that Rufus guy. A dog who doesn’t play around. If I were you, I’d go back home."
A063,63,Nunca! Eu vou salvar Pepito!,Never! I’m going to save Pepito!
A064,64,"Bom, escolha sua… Mas se sobreviver, passa aqui depois. Sempre posso precisar de mais uma patinha amiga, sabe?","Well, your choice… But if you survive, drop by later. I could always use an extra helping paw, you know?"
A065,65,Lakshmi! Eu sabia que você viria!,Lakshmi! I knew you’d come!
A066,66,"Maninho! Estou aqui! Eu vou te tirar daí, prometo!","Little brother! I’m here! I’ll get you out of there, I promise!"
A067,67,"Consegui! Vem, rápido!","I did it! Come on, quick!"
A068,68,Mas... e o Rufus?,But… what about Rufus?
A069,69,Acho que ele ainda não acordou... Vamos sair daqui antes que ele...,I think he’s still asleep… Let’s get out of here before he—
A070,70,"Aonde pensam que vão, ratinhos?","Where do you think you’re going, little rats?"
A071,71,Corre!!!,Run!!!
